referencia,nome,cor,codigo_cor,descrição no catalogo,descricao,preco com iva,descontinuado,código de barras,Stock,subfamilia
100010,KeyPro Silent K120,Preto,#000000,Teclado USB silencioso,"Layout português, resistente a salpicos e ligação plug-and-play.",17.90,false,5609001000010,48,Teclados
100029,KeyPro Silent K120,Branco,#FFFFFF,Teclado USB silencioso,"Layout português, resistente a salpicos e ligação plug-and-play.",17.90,false,5609001000029,31,Teclados
100011,DataFlash USB 64GB 3.2,Preto,#000000,Pen drive USB de alta velocidade,"Leitura até 150MB/s com compatibilidade USB 3.2.",12.90,false,5609001000011,140,Pen drives USB
100030,DataFlash USB 64GB 3.2,Azul,#0000FF,Pen drive USB de alta velocidade,"Leitura até 150MB/s com compatibilidade USB 3.2.",12.90,false,5609001000030,95,Pen drives USB
100031,DataFlash USB 64GB 3.2,Vermelho,#FF0000,Pen drive USB de alta velocidade,"Leitura até 150MB/s com compatibilidade USB 3.2.",12.90,false,5609001000031,88,Pen drives USB
100012,Leitz Active A4 80mm,Azul,#0000FF,Classificador de arquivo premium,"Cartão reforçado, mecanismo metálico e lombada de 80mm.",5.95,false,5609001000012,230,Classificadores
100032,Leitz Active A4 80mm,Preto,#000000,Classificador de arquivo premium,"Cartão reforçado, mecanismo metálico e lombada de 80mm.",5.95,false,5609001000032,172,Classificadores
100013,LabelMaker LM-210,Preto,#000000,Etiquetadora portátil,"Impressão térmica para etiquetas organizacionais e industriais.",49.90,false,5609001000013,13,Etiquetadoras
100033,LabelMaker LM-210,Azul,#0000FF,Etiquetadora portátil,"Impressão térmica para etiquetas organizacionais e industriais.",49.90,false,5609001000033,6,Etiquetadoras
100014,Permanent Marker PM-450,Preto,#000000,Marcador permanente preto,"Escrita sobre papel, plástico, metal e vidro.",2.20,false,5609001000014,380,Marcadores permanentes
100034,Permanent Marker PM-450,Azul,#0000FF,Marcador permanente azul,"Escrita sobre papel, plástico, metal e vidro.",2.20,false,5609001000034,241,Marcadores permanentes
100035,Permanent Marker PM-450,Vermelho,#FF0000,Marcador permanente vermelho,"Escrita sobre papel, plástico, metal e vidro.",2.20,false,5609001000035,195,Marcadores permanentes
100015,OfficeCut Titanium,Preto,#000000,Tesoura profissional 21cm,"Lâmina em aço inoxidável revestida a titânio.",6.90,false,5609001000015,95,Tesouras de escritório
100036,OfficeCut Titanium,Azul,#0000FF,Tesoura profissional 21cm,"Lâmina em aço inoxidável revestida a titânio.",6.90,false,5609001000036,58,Tesouras de escritório
100037,OfficeCut Titanium,Vermelho,#FF0000,Tesoura profissional 21cm,"Lâmina em aço inoxidável revestida a titânio.",6.90,false,5609001000037,44,Tesouras de escritório
100038,OfficeCut Titanium,Verde,#00FF00,Tesoura profissional 21cm,"Lâmina em aço inoxidável revestida a titânio.",6.90,false,5609001000038,37,Tesouras de escritório
100039,XActo Precision Pro,Preto,#000000,X-ato profissional,"Corpo metálico e lâmina de alta precisão.",8.90,false,5609001000039,44,X-atos
100040,XActo Precision Pro,Vermelho,#FF0000,X-ato profissional,"Corpo metálico e lâmina de alta precisão.",8.90,false,5609001000040,27,X-atos
100041,XActo Precision Pro,Azul,#0000FF,X-ato profissional,"Corpo metálico e lâmina de alta precisão.",8.90,false,5609001000041,18,X-atos
100042,XActo Precision,Azul,#0000FF,X-ato profissional,"Corpo metálico",9.90,false,5609001000042,18,X-atos
100043,OfficeCut Titan,Amarelo,#FFFF00,Tesoura profissional 21cm,"Lâmina em aço inoxidável revestida a titânio.",6.90,false,5609001000043,37,Tesouras de escritório
